variable,chi2,p_value,dof
city_name_Aldergrove,1.0997620757678181,0.2943183246519748,1
city_name_Bella Bella,0.1468056569037744,0.7016068703941023,1
city_name_Blue River,0.2040957995263825,0.6514349497632683,1
city_name_Burnaby,12.985506500903861,0.00031391141113598045,1
city_name_Chilliwack,0.17452347710176255,0.676122547020145,1
city_name_Cortes Island,14.246154056587152,0.00016038822774448784,1
city_name_Cranbrook,7.91988259995926,0.004889444505902648,1
city_name_Dawson Creek,49.85368894353099,1.6564865129490788e-12,1
city_name_Dease Lake,1.7714852917995207,0.18319836925826236,1
city_name_Fort Nelson,146.45910914900176,1.0303246689506806e-33,1
city_name_Fort St John,4.4795129377640555,0.03430349567186503,1
city_name_Grand Forks,94.98592456068712,1.9174378980602125e-22,1
city_name_Haney,61.974364554843845,3.479577788009265e-15,1
city_name_Kamloops,0.00033943040714356777,0.9853008958943614,1
city_name_Kelowna,3.5418076398073604,0.059840213150209376,1
city_name_Langley,0.0,1.0,1
city_name_Nanaimo,10.774008165054966,0.001029353597687075,1
city_name_Nelson,0.42930295427158166,0.5123311762878087,1
city_name_New Westminister,175.82176381528825,3.9605629857731765e-40,1
city_name_New Westminster,7.481861646863386,0.006232360046903366,1
city_name_North Vancouver,2.551086863532573,0.11021841053995168,1
city_name_Ocean Falls,11.021242358363946,0.0009007368218255374,1
city_name_Pitt Meadows,27.95395321078419,1.2423688472823057e-07,1
city_name_Port Coquitlam,0.040885495186931825,0.8397591066030454,1
city_name_Prince George,0.580506719583252,0.44611377155793164,1
city_name_Princeton,52.93533276465654,3.4471252451801765e-13,1
city_name_Quesnel,4.464785326904049,0.034600437207138644,1
city_name_Richmond,4.546103058136204,0.03299375734305061,1
city_name_Squamish,0.11204560565435842,0.7378271543380333,1
city_name_Surrey,0.1060128063080927,0.7447299795947815,1
city_name_Terrace,0.40980411770054076,0.522068944209905,1
city_name_Trail,0.05148773558356556,0.8204944328206973,1
city_name_Valemount,10.735029839455855,0.0010512630716186186,1
city_name_Vancouver,5.976158395461443,0.014500553598497185,1
city_name_Vernon,0.7420420925814395,0.3890075073179623,1
city_name_Victoria,0.15161275789374856,0.6969988888979096,1
city_name_West Vancouver,0.5708804588768855,0.44990925747512567,1
city_name_White Rock,63.56073721631088,1.5549773877260074e-15,1
city_name_Williams Lake,3.577743470636536,0.05855864556295235,1
department_name_Accounts Payable,6.255009207904636,0.012384260459215004,1
department_name_Accounts Receiveable,9.829035373816367,0.001717784127450002,1
department_name_Audit,11.122108939426909,0.000853047369487888,1
department_name_Bakery,94.43540054877701,2.532228799867526e-22,1
department_name_Compensation,11.122108939426909,0.000853047369487888,1
department_name_Customer Service,13.289177744795484,0.0002669425292882758,1
department_name_Dairy,20.909777275735753,4.814310217123464e-06,1
department_name_Employee Records,13.72573508765113,0.00021153595947524738,1
department_name_Executive,2.142613201633796,0.14325768061579233,1
department_name_HR Technology,23.389368507975146,1.3230775156571592e-06,1
department_name_Information Technology,26.247731174103382,3.003074273349826e-07,1
department_name_Investment,11.122108939426909,0.000853047369487888,1
department_name_Labor Relations,20.3887064961085,6.320167879175061e-06,1
department_name_Legal,8.044471609619439,0.004564272983260768,1
department_name_Meats,20.36868728217,6.386632890352796e-06,1
department_name_Processed Foods,49.27743675728884,2.222036475836178e-12,1
department_name_Produce,46.766092205451535,7.998543240264285e-12,1
department_name_Recruitment,13.704654326823032,0.00021392366631753192,1
department_name_Store Management,64.13832049707227,1.1598353281930867e-15,1
department_name_Training,14.921792600918424,0.00011206098910839716,1
gender_short_M,54.488029101234474,1.563976387012932e-13,1
BUSINESS_UNIT_STORES,155.09828559609434,1.3326478610830644e-35,1
STATUS_TERMINATED,49618.53878821553,0.0,1
